id,format,width,height,size_kb,aspect_ratio,pixels
308397599,JPEG,150,200,16.5,0.75,30000
307068567,JPEG,600,800,230.1,0.75,480000
307923942,JPEG,1200,1600,757.0,0.75,1920000
307502678,JPEG,1386,1201,724.9,0.97,1664586
307555118,JPEG,569,1468,250.3,1.95,835292
308634037,JPEG,480,640,110.8,0.75,307200
308242510,JPEG,165,112,12.3,1.47,18480
308517022,JPEG,1200,1600,650.1,0.75,1920000
307921994,JPEG,800,1067,463.1,0.75,853600
308842636,BMP,800,1067,1437.1,0.75,853600
307296611,JPEG,640,853,275.5,0.75,545920
308803400,JPEG,1200,1600,715.9,0.75,1920000
308604781,JPEG,1200,1600,823.2,0.75,1920000
307763150,JPEG,792,1490,419.0,1.16,1180080
307345205,JPEG,640,853,160.4,0.75,545920
307973699,JPEG,200,267,21.8,0.75,53400
308150185,JPEG,800,1067,392.9,0.75,853600
307847856,JPEG,800,1067,281.5,0.75,853600
308374400,JPEG,800,1067,287.6,0.75,853600
307531370,JPEG,480,640,93.4,0.75,307200
308200950,JPEG,155,148,15.3,1.05,22940
307611175,JPEG,300,400,42.8,0.75,120000
308626677,JPEG,150,200,14.0,0.75,30000
307345839,JPEG,84,55,3.1,1.53,4620
307530660,JPEG,150,200,9.2,0.75,30000
307691398,JPEG,147,73,7.2,2.01,10731
308523601,JPEG,222,863,85.5,0.69,191586
307058019,JPEG,640,853,221.5,0.75,545920
307469630,JPEG,600,800,206.7,0.75,480000
307485761,JPEG,480,640,93.4,0.75,307200
307766230,JPEG,640,853,183.2,0.75,545920
307877079,JPEG,480,640,92.9,0.75,307200
307362554,PNG,161,101,10.8,1.59,16261
308843899,JPEG,150,200,9.8,0.75,30000
308946302,JPEG,1407,1174,631.2,1.35,1651818
308435352,JPEG,150,200,14.3,0.75,30000
307977939,JPEG,600,800,167.8,0.75,480000
307171833,JPEG,600,800,153.1,0.75,480000
307060353,PNG,150,200,22.4,0.75,30000
307894629,JPEG,640,853,170.3,0.75,545920
307619144,JPEG,662,116,27.8,1.62,76792
308540159,JPEG,200,267,26.0,0.75,53400
308210219,JPEG,150,200,13.1,0.75,30000
307901877,JPEG,300,400,39.1,0.75,120000
307639009,PNG,150,200,20.3,0.75,30000
307936187,JPEG,300,400,54.7,0.75,120000
308260690,JPEG,150,200,15.0,0.75,30000
307712580,JPEG,150,200,8.8,0.75,30000
308252010,JPEG,800,1067,250.0,0.75,853600
307337847,JPEG,640,853,287.9,0.75,545920
308312735,JPEG,1140,162,58.0,2.08,184680
308052923,JPEG,800,1067,269.9,0.75,853600
307571798,JPEG,200,267,29.2,0.75,53400
308142206,JPEG,150,200,9.3,0.75,30000
307544543,JPEG,175,102,11.9,1.72,17850
307348579,JPEG,640,853,183.5,0.75,545920
307166822,JPEG,231,1002,109.9,1.44,231462
307993114,JPEG,666,1455,349.3,1.9,969030
308334307,JPEG,99,96,6.3,1.03,9504
308741830,JPEG,300,400,39.2,0.75,120000
308662214,JPEG,150,200,10.0,0.75,30000
308345285,JPEG,116,95,7.3,1.22,11020
307562922,JPEG,600,800,154.1,0.75,480000
307160524,JPEG,1526,1045,464.9,1.56,1594670
308301413,JPEG,1200,1600,597.9,0.75,1920000
308618995,JPEG,1521,1079,506.4,2.19,1641159
308345972,PNG,62,51,2.1,1.22,3162
307910475,JPEG,300,400,48.2,0.75,120000
307746618,JPEG,300,400,45.7,0.75,120000
307188053,JPEG,1200,1600,754.5,0.75,1920000
307712011,JPEG,300,400,62.2,0.75,120000
307666726,JPEG,62,134,5.5,0.46,8308
307225100,JPEG,800,1067,416.0,0.75,853600
308414107,JPEG,142,1666,80.4,1.5,236572
308211081,JPEG,300,400,44.9,0.75,120000
308300677,JPEG,150,200,11.7,0.75,30000
308814466,JPEG,300,400,42.7,0.75,120000
307585034,JPEG,152,63,6.4,2.41,9576
308782431,JPEG,800,1067,388.7,0.75,853600
307928614,JPEG,1527,1356,724.0,1.09,2070612
307042432,JPEG,600,800,206.1,0.75,480000
307399119,JPEG,1200,1600,558.4,0.75,1920000
307480956,JPEG,200,267,17.0,0.75,53400
308699262,JPEG,600,800,208.8,0.75,480000
307793845,JPEG,640,853,196.3,0.75,545920
307712993,JPEG,1200,1600,661.7,0.75,1920000
308081539,JPEG,50,136,4.5,0.37,6800
307715639,JPEG,600,800,162.0,0.75,480000
308739032,JPEG,300,400,39.4,0.75,120000
308137902,JPEG,480,640,114.6,0.75,307200
307417644,JPEG,640,853,195.7,0.75,545920
307716046,JPEG,300,400,55.1,0.75,120000
308048928,JPEG,1200,1600,1059.7,0.75,1920000
308619720,JPEG,76,125,6.3,0.61,9500
307983705,JPEG,480,640,94.1,0.75,307200
308520851,JPEG,962,1099,438.9,1.44,1057238
307806945,JPEG,600,800,161.7,0.75,480000
308271977,JPEG,941,1330,612.7,0.79,1251530
308285590,JPEG,800,1067,397.0,0.75,853600
307579271,JPEG,1299,1476,931.6,0.71,1917324
307607537,JPEG,600,800,217.6,0.75,480000
307019544,JPEG,640,853,219.9,0.75,545920
308251842,JPEG,800,1067,468.8,0.75,853600
308302987,JPEG,200,267,17.4,0.75,53400
307937501,JPEG,800,1067,251.9,0.75,853600
307351576,JPEG,600,800,187.9,0.75,480000
